Date,Close,Open,High,Low,Vol.,Change
09-04-2021,14834.85,14882.65,14918.45,14785.65,498.35,-0.26
12-04-2021,14310.8,14644.65,14652.5,14248.7,638.48,-3.53
13-04-2021,14504.8,14364.9,14528.9,14274.9,588.67,1.36
15-04-2021,14581.45,14522.4,14597.55,14353.2,556.85,0.53
16-04-2021,14617.85,14599.6,14697.7,14559.0,568.57,0.25
19-04-2021,14359.45,14306.6,14382.3,14191.4,503.14,-1.77
20-04-2021,14296.4,14526.7,14526.95,14207.3,456.7,-0.44
22-04-2021,14406.15,14219.15,14424.75,14151.4,516.99,0.77
23-04-2021,14341.35,14326.35,14461.15,14273.3,476.61,-0.45
26-04-2021,14485.0,14449.45,14557.5,14421.3,448.53,1.0
27-04-2021,14653.05,14493.8,14667.55,14484.85,442.21,1.16
28-04-2021,14864.55,14710.5,14890.25,14694.95,453.99,1.44
29-04-2021,14894.9,14979.0,15044.35,14814.45,511.47,0.2
30-04-2021,14631.1,14747.35,14855.45,14601.7,594.74,-1.77
03-05-2021,14634.15,14481.05,14673.85,14416.25,443.41,0.02
04-05-2021,14496.5,14687.25,14723.4,14461.5,479.66,-0.94
05-05-2021,14617.85,14604.15,14637.9,14506.6,437.26,0.84
06-05-2021,14724.8,14668.35,14743.9,14611.5,445.28,0.73
07-05-2021,14823.15,14816.85,14863.05,14765.5,483.68,0.67
10-05-2021,14942.35,14928.25,14966.9,14892.5,510.6,0.8
11-05-2021,14850.75,14789.7,14900.0,14771.4,616.2,-0.61
12-05-2021,14696.5,14823.55,14824.05,14649.7,620.32,-1.04
14-05-2021,14677.8,14749.4,14749.65,14591.9,602.74,-0.13
17-05-2021,14923.15,14756.25,14938.0,14725.35,534.52,1.67
18-05-2021,15108.1,15067.2,15137.25,15043.7,571.92,1.24
19-05-2021,15030.15,15058.6,15133.4,15008.85,563.29,-0.52
20-05-2021,14906.05,15042.6,15069.8,14884.9,467.46,-0.83
21-05-2021,15175.3,14987.8,15190.0,14985.85,557.73,1.81
24-05-2021,15197.7,15211.35,15256.25,15145.45,566.72,0.15
25-05-2021,15208.45,15291.75,15293.85,15163.4,417.32,0.07
26-05-2021,15301.45,15257.05,15319.9,15194.95,377.68,0.61
27-05-2021,15337.85,15323.95,15384.55,15272.5,682.37,0.24
28-05-2021,15435.65,15421.2,15469.65,15394.75,455.58,0.64
31-05-2021,15582.8,15437.75,15606.35,15374.0,436.0,0.95
01-06-2021,15574.85,15629.65,15660.75,15528.3,409.56,-0.05
02-06-2021,15576.2,15520.35,15597.45,15459.85,428.64,0.01
03-06-2021,15690.35,15655.55,15705.1,15611.0,410.24,0.73
04-06-2021,15670.25,15712.5,15733.6,15622.35,414.16,-0.13
07-06-2021,15751.65,15725.1,15773.45,15678.1,393.97,0.52
08-06-2021,15740.1,15773.9,15778.8,15680.0,378.16,-0.07
09-06-2021,15635.35,15766.3,15800.45,15566.9,457.86,-0.67
10-06-2021,15737.75,15692.1,15751.25,15648.5,298.3,0.65
11-06-2021,15799.35,15796.45,15835.55,15749.8,363.01,0.39
14-06-2021,15811.85,15791.4,15823.05,15606.5,392.86,0.08
15-06-2021,15869.25,15866.95,15901.6,15842.4,323.26,0.36
16-06-2021,15767.55,15847.5,15880.85,15742.6,340.19,-0.64
17-06-2021,15691.4,15648.3,15769.35,15616.75,357.65,-0.48
18-06-2021,15683.35,15756.5,15761.5,15450.9,640.82,-0.05
21-06-2021,15746.5,15525.85,15765.15,15505.65,351.53,0.4
22-06-2021,15772.75,15840.5,15895.75,15752.1,322.24,0.17
23-06-2021,15686.95,15862.8,15862.95,15673.95,287.54,-0.54
24-06-2021,15790.45,15737.3,15821.4,15702.7,316.66,0.66
25-06-2021,15860.35,15839.35,15870.8,15772.3,314.61,0.44
28-06-2021,15814.7,15915.35,15915.65,15792.15,255.1,-0.29
29-06-2021,15748.45,15807.5,15835.9,15724.05,360.33,-0.42
30-06-2021,15721.5,15776.9,15839.1,15708.75,262.39,-0.17
01-07-2021,15680.0,15755.05,15755.55,15667.05,224.92,-0.26
02-07-2021,15722.2,15705.85,15738.35,15635.95,254.81,0.27
05-07-2021,15834.35,15793.4,15845.95,15762.05,207.03,0.71
06-07-2021,15818.25,15813.75,15914.2,15801.0,391.41,-0.1
07-07-2021,15879.65,15819.6,15893.55,15779.7,329.31,0.39
08-07-2021,15727.9,15855.4,15885.75,15682.9,307.93,-0.96
09-07-2021,15689.8,15688.25,15730.85,15632.75,243.25,-0.24
12-07-2021,15692.6,15766.8,15789.2,15644.75,216.27,0.02
